id,constant,display_name,sort_name,country,continent,digits,date,date_text,date_precision,notes,source_url,category_tags,is_juggling,is_public
pi-burry-caitlyn-canada-50-2018-03-24,pi,"Burry, Caitlyn","Burry, Caitlyn",Canada,North America,50,2018-03-24,24 March 2018,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-busboom-gerold-germany-2016-2016-03-12,pi,"Busboom, Gerold","Busboom, Gerold",Germany,Europe,2016,2016-03-12,12 March 2016,day,2nd Pi Day in Emden/while juggling 3 balls,https://www.pi-world-ranking-list.com/index.php?page=lists&category=pi&juggling=1&sort=digits,juggling,true,true
pi-busboom-gerold-germany-3352-2018-03-24,pi,"Busboom, Gerold","Busboom, Gerold",Germany,Europe,3352,2018-03-24,24 March 2018,day,4th Pi Day in Emden,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-bush-keith-usa-323-2021-04-20,pi,"Bush, Keith","Bush, Keith",USA,North America,323,2021-04-20,20 April 2021,day,1 min 52 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-bush-zachary-usa-41-2008-08-25,pi,"Bush, Zachary","Bush, Zachary",USA,North America,41,2008-08-25,25 August 2008,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-butler-barren-usa-69-2014-03-14,pi,"Butler, Barren","Butler, Barren",USA,North America,69,2014-03-14,14 March 2014,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-butterfield-jason-usa-49-2012-03-14,pi,"Butterfield, Jason","Butterfield, Jason",USA,North America,49,2012-03-14,14 March 2012,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-byamungu-kalebu-tanzania-69-2017-03-15,pi,"Byamungu, Kalebu","Byamungu, Kalebu",Tanzania,Africa,69,2017-03-15,15 March 2017,day,1 min 14 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-byerley-michael-usa-825-2024-02-27,pi,"Byerley, Michael","Byerley, Michael",USA,North America,825,2024-02-27,27 February 2024,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cabrera-esteban-usa-323-2017-03-23,pi,"Cabrera, Esteban","Cabrera, Esteban",USA,North America,323,2017-03-23,23 March 2017,day,6 min 15 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cahill-graham-ireland-650-2022-02-09,pi,"Cahill, Graham","Cahill, Graham",Ireland,Europe,650,2022-02-09,9 February 2022,day,5 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-callahan-katie-usa-47-2015-03-13,pi,"Callahan, Katie","Callahan, Katie",USA,North America,47,2015-03-13,13 March 2015,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-camaisa-teriza-usa-33-2013-03-14,pi,"Camaisa, Teriza","Camaisa, Teriza",USA,North America,33,2013-03-14,14 March 2013,day,1 min 42 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cameron-james-usa-65-2013-03-14,pi,"Cameron, James","Cameron, James",USA,North America,65,2013-03-14,14 March 2013,day,30 sec / while juggling 3 balls,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal|juggling,true,true
pi-cameron-sean-switzerland-156-2015-03-10,pi,"Cameron, Sean","Cameron, Sean",Switzerland,Europe,156,2015-03-10,10 March 2015,day,Swiss Record 2015,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-campbell-jennifer-great-britain-137-2012-03-15,pi,"Campbell, Jennifer","Campbell, Jennifer",Great Britain,Europe,137,2012-03-15,15 March 2012,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-campos-sebastian-peru-64-2014-03-14,pi,"Campos, Sebastian","Campos, Sebastian",Peru,South America,64,2014-03-14,14 March 2014,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cannella-william-usa-34-2015-03-16,pi,"Cannella, William","Cannella, William",USA,North America,34,2015-03-16,16 March 2015,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cannon-cj-usa-51-2016-03-14,pi,"Cannon, CJ","Cannon, CJ",USA,North America,51,2016-03-14,14 March 2016,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cannoy-brianna-usa-21-2016-03-14,pi,"Cannoy, Brianna","Cannoy, Brianna",USA,North America,21,2016-03-14,14 March 2016,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cardenas-danielle-usa-75-2012-03-14,pi,"Cardenas, Danielle","Cardenas, Danielle",USA,North America,75,2012-03-14,14 March 2012,day,47 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carlock-wyatt-usa-203-2008-03-14,pi,"Carlock, Wyatt","Carlock, Wyatt",USA,North America,203,2008-03-14,14 March 2008,day,time : 2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carlson-russel-usa-91-2015-03-13,pi,"Carlson, Russel","Carlson, Russel",USA,North America,91,2015-03-13,13 March 2015,day,while juggling 3 balls,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal|juggling,true,true
pi-carmona-perez-alicia-spain-310-2022-03-16,pi,"Carmona Pèrez, Alicia","Carmona Pèrez, Alicia",Spain,Europe,310,2022-03-16,16 March 2022,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carmona-perez-irene-spain-134-2024-03-14,pi,"Carmona Pérez, Irene","Carmona Pérez, Irene",Spain,Europe,134,2024-03-14,14 March 2024,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carrier-maude-canada-100-2012-03-14,pi,"Carrier, Maude","Carrier, Maude",Canada,North America,100,2012-03-14,14 March 2012,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carrillo-ignacio-venezuela-27-2014-03-13,pi,"Carrillo, Ignacio","Carrillo, Ignacio",Venezuela,South America,27,2014-03-13,13 March 2014,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carro-edmund-great-britain-226-2012-03-14,pi,"Carro, Edmund","Carro, Edmund",Great Britain,Europe,226,2012-03-14,14 March 2012,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carrol-michael-australia-37-2015-10-14,pi,"Carrol, Michael","Carrol, Michael",Australia,Australia,37,2015-10-14,14 October 2015,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carroll-ajhani-usa-50-2014-03-14,pi,"Carroll, Ajhani","Carroll, Ajhani",USA,North America,50,2014-03-14,14 March 2014,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carry-evan-usa-107-2018-03-14,pi,"Carry, Evan","Carry, Evan",USA,North America,107,2018-03-14,14 March 2018,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carson-kenyen-usa-55-2023-03-14,pi,"Carson, Kenyen","Carson, Kenyen",USA,North America,55,2023-03-14,14 March 2023,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carte-justin-usa-349-2015-03-25,pi,"Carte, Justin","Carte, Justin",USA,North America,349,2015-03-25,25 March 2015,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carter-jonathan-usa-389-2017-04-13,pi,"Carter, Jonathan","Carter, Jonathan",USA,North America,389,2017-04-13,13 April 2017,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-carvello-creigthon-great-britain-20013-1980-06-27,pi,"Carvello, Creigthon","Carvello, Creigthon",Great Britain,Europe,20013,1980-06-27,27 June 1980,day,World Record 1980,http://www.pi-world-ranking-list.com/lists/details/carvello.html,normal,false,true
